source,auctioneer,sale date,sale time,county,address,deposit,status,ad link
AC,AC,09/29/2026,2:00 PM,Calvert County,"3743 6th Street, North Beach, 20714","$15,000",Active,https://realestate.alexcooper.com/direct-download-document?url=https%3A%2F%2Fproduction2-server.auctionmobility.com%2Fv1%2Fdocument%2F1-EGQL%2F1-DFO4YM%2Fauctionmobility-tenant-private%2FWkI5-1-EGQL%2Fdocuments%2F528654.pdf
AC,AC,09/29/2026,2:05 PM,Calvert County,"1595 Pushaw Station Road, Sunderland, 20689","$26,000",Active,https://realestate.alexcooper.com/direct-download-document?url=https%3A%2F%2Fproduction2-server.auctionmobility.com%2Fv1%2Fdocument%2F1-EGQL%2F1-DFO4WR%2Fauctionmobility-tenant-private%2FnHS8-1-EGQL%2Fdocuments%2F528450.pdf
AC,AC,09/29/2026,2:07 PM,Calvert County,"9913 Jonathan Drive, Dunkirk, 20754","$32,000",Active,https://realestate.alexcooper.com/direct-download-document?url=https%3A%2F%2Fproduction2-server.auctionmobility.com%2Fv1%2Fdocument%2F1-EGQL%2F1-DFO50B%2Fauctionmobility-tenant-private%2FDxbV-1-EGQL%2Fdocuments%2F528619.pdf
AC,AC,09/29/2026,12:45 PM,Charles County,"6357 Goral Court, Waldorf, 20603","$37,000",Active,https://realestate.alexcooper.com/direct-download-document?url=https%3A%2F%2Fproduction2-server.auctionmobility.com%2Fv1%2Fdocument%2F1-EGQL%2F1-DFO4ZT%2Fauctionmobility-tenant-private%2FsnFO-1-EGQL%2Fdocuments%2F528618.pdf
AC,AC,09/29/2026,12:47 PM,Charles County,"3465 Marigold Place, Unit A a/r/t/a 3465A Marigold Place, Waldorf, 20602","$31,000",Active,https://realestate.alexcooper.com/direct-download-document?url=https%3A%2F%2Fproduction2-server.auctionmobility.com%2Fv1%2Fdocument%2F1-EGQL%2F1-DFO4WF%2Fauctionmobility-tenant-private%2FdfTk-1-EGQL%2Fdocuments%2F528396.pdf
AC,AC,09/29/2026,12:49 PM,Charles County,"6851 Arbor Lane, Bryans Road, 20616","$25,000",Active,https://realestate.alexcooper.com/direct-download-document?url=https%3A%2F%2Fproduction2-server.auctionmobility.com%2Fv1%2Fdocument%2F1-EGQL%2F1-DFO4VC%2Fauctionmobility-tenant-private%2FjT1I-1-EGQL%2Fdocuments%2F528550.pdf
AC,AC,09/29/2026,10:55 AM,Prince George's County,"12608 Henderson Chapel Lane, Bowie, 20720","$30,000",Active,https://realestate.alexcooper.com/direct-download-document?url=https%3A%2F%2Fproduction2-server.auctionmobility.com%2Fv1%2Fdocument%2F1-EGQL%2F1-DFO4XW%2Fauctionmobility-tenant-private%2FNqL1-1-EGQL%2Fdocuments%2F528680.pdf
AC,AC,09/29/2026,11:02 AM,Prince George's County,"12516 Tove Road, Clinton, 20735","$29,000",Active,https://realestate.alexcooper.com/direct-download-document?url=https%3A%2F%2Fproduction2-server.auctionmobility.com%2Fv1%2Fdocument%2F1-EGQL%2F1-DFO4UU%2Fauctionmobility-tenant-private%2FgnDp-1-EGQL%2Fdocuments%2F528549.pdf
AC,AC,09/29/2026,11:04 AM,Prince George's County,"12168 Beltsville Drive, Beltsville, 20705","$21,000",Active,https://realestate.alexcooper.com/direct-download-document?url=https%3A%2F%2Fproduction2-server.auctionmobility.com%2Fv1%2Fdocument%2F1-EGQL%2F1-DFO4ZI%2Fauctionmobility-tenant-private%2Fbj3p-1-EGQL%2Fdocuments%2F528658.pdf
AC,AC,09/29/2026,11:06 AM,Prince George's County,"7009 Woodstream Terrace, Lanham, 20706","$27,000",Active,https://realestate.alexcooper.com/direct-download-document?url=https%3A%2F%2Fproduction2-server.auctionmobility.com%2Fv1%2Fdocument%2F1-EGQL%2F1-DFO4VX%2Fauctionmobility-tenant-private%2Fltmp-1-EGQL%2Fdocuments%2F528395.pdf
