source,auctioneer,sale date,sale time,county,address,deposit,status,ad link
BL,BL,09/29/2026,11:00AM,Baltimore County,"1204 Elm Road, Arbutus, MD 21227",SEE AD,Active,https://ajbillig.com/auction/1204-elm-road/
BL,BL,09/30/2026,10:30AM,Anne Arundel County,"708 Millhouse Drive, Glen Burnie, MD 21060",SEE AD,Active,https://ajbillig.com/auction/708-millhouse-drive/
BL,BL,09/30/2026,11:00AM,Baltimore City,"3167 Elmora Avenue, Baltimore, MD 21213",SEE AD,Active,https://ajbillig.com/auction/3167-elmora-avenue/
BL,BL,09/30/2026,11:15AM,Baltimore City,"2818 Presstman Street, Baltimore, MD 21216",SEE AD,Active,https://ajbillig.com/auction/2818-presstman-street/
BL,BL,10/01/2026,10:00AM,Baltimore County,"130 Slade Avenue, Unit 521, Pikesville, MD 21208",SEE AD,Active,https://ajbillig.com/auction/130-slade-avenue-unit-521/
BL,BL,10/01/2026,10:10AM,Baltimore County,"4305 Plinlimmon Drive, Owings Mills, MD 21117",SEE AD,Active,https://ajbillig.com/auction/4305-plinlimmon-drive/
BL,BL,10/01/2026,12:00PM,Montgomery County,"Columbia Pike, Burtonsville, MD 20866",SEE AD,Active,
BL,BL,10/06/2026,11:00AM,Baltimore City,"Sale To Be Held: Delta Hotels Baltimore North, 5100 Falls Road, Baltimore, MD 21210",SEE AD,Active,https://ajbillig.com/auction/one-house-at-a-time-inc-receivers-auction-october-6-2026/
BL,BL,10/07/2026,10:00AM,Baltimore City,"721 Grundy Street, Baltimore, MD 21224",SEE AD,Active,https://ajbillig.com/auction/721-grundy-street/
BL,BL,10/07/2026,1:00PM,Washington DC,"5302 and 5304 F Street, S.E., Washington, DC 20019",SEE AD,Active,https://ajbillig.com/auction/5302-and-5304-f-street-s-e/
BL,BL,10/08/2026,11:00AM,Baltimore County,"3207B Acton Road, Baltimore, MD 21234",SEE AD,Active,https://ajbillig.com/auction/3207b-acton-road/
BL,BL,10/13/2026,11:00AM,Baltimore County,"213 N. Marlyn Avenue, Essex, MD 21221",SEE AD,Active,https://ajbillig.com/auction/213-n-marlyn-avenue/
BL,BL,10/13/2026,1:00PM,Baltimore County,"101 Delmar Avenue, Dundalk, MD 21222",SEE AD,Active,https://ajbillig.com/auction/101-delmar-avenue/
BL,BL,10/13/2026,2:00PM,Baltimore County,"8415 Church Lane, Randallstown, MD 21133",SEE AD,Active,https://ajbillig.com/auction/8415-church-lane/
BL,BL,10/14/2026,11:30AM,Washington DC,"1525 19th Street SE, Washington, DC 20020",SEE AD,Active,https://ajbillig.com/auction/1525-19th-street-se/
BL,BL,10/15/2026,10:00AM,Baltimore County,"4750 Coyle Road, Unit 106, Owings Mills, MD 21117",SEE AD,Active,https://ajbillig.com/auction/4750-coyle-road-unit-106/
BL,BL,10/15/2026,11:00AM,Baltimore City,"4108 Maine Avenue, Baltimore, MD 21207",SEE AD,Active,https://ajbillig.com/auction/4108-maine-avenue/
BL,BL,10/16/2026,12:00PM,Baltimore County,"4 Country Hill Court, Kingsville, MD 21087",SEE AD,Active,https://ajbillig.com/auction/4-country-hill-court/
BL,BL,10/19/2026,11:00AM,Baltimore County,"3 Judywood Lane, Essex, MD 21221",SEE AD,Active,https://ajbillig.com/auction/3-judywood-lane-10-19-2026/
BL,BL,10/20/2026,11:00AM,Baltimore County,"2313 Pot Spring Road, Timonium, MD 21093",SEE AD,Active,https://ajbillig.com/auction/2313-pot-spring-road/
BL,BL,10/21/2026,11:00AM,Howard County,"4950 Dorsey Hall Drive, Unit 12, Ellicott City, MD 21042",SEE AD,Active,https://ajbillig.com/auction/4950-dorsey-hall-drive-unit-12/
BL,BL,10/21/2026,12:00PM,Cecil County,"133 Maffitt Street, Elkton, MD 21921",SEE AD,Active,https://ajbillig.com/auction/133-maffitt-street/
BL,BL,10/22/2026,12:00PM,Montgomery County,"15401 Old Columbia Pike (MD-198), Burtonsville, MD 20866",SEE AD,Active,https://ajbillig.com/auction/15401-old-columbia-pike-md-198/
BL,BL,10/28/2026,10:30AM,Baltimore County,"11540 Philadelphia Road, Lot #5A, White Marsh, MD 21162",SEE AD,Active,https://ajbillig.com/auction/11540-philadelphia-road-lot-5a/
