source,auctioneer,sale date,sale time,county,address,deposit,status,ad link
DR,DR,10/15/2026,1:30 PM,Baltimore County,"121 Gibbons Boulevard, Cockeysville, MD 21030",SEE AD,Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4216553
DR,DR,10/15/2026,11:30 AM,Baltimore City,"1252 Walker Avenue, Baltimore, MD 21239",SEE AD,Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4216554
DR,DR,10/15/2026,11:30 AM,Baltimore City,"2072 Linden Ave, Baltimore, MD 21217",SEE AD,Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4216555
DR,DR,10/15/2026,11:30 AM,Baltimore City,"3210 Carlisle Avenue, Baltimore, MD 21216",SEE AD,Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4216556
DR,DR,10/15/2026,11:30 AM,Baltimore City,"3602 Malden Avenue, Baltimore, MD 21211",SEE AD,Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4216557
DR,DR,10/15/2026,11:30 AM,Baltimore City,"4606 Elsrode Avenue, Baltimore, MD 21214",SEE AD,Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4216558
DR,DR,10/15/2026,1:30 PM,Baltimore County,"9401 Summer Squall Drive, Randallstown, MD 21133",SEE AD,Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4216559
DR,DR,10/13/2026,,Baltimore City,"412 Poplar Grove, Baltimore, MD 21223","$5,000",Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4216560
DR,DR,10/13/2026,,Baltimore County,"1116 Halstead Rd, Parkville, MD 21234","$10,500",Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4216561
DR,DR,10/13/2026,,Baltimore City,"1604 Edmondson Ave, Baltimore, MD 21223","$24,000",Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4216562
DR,DR,10/13/2026,,Baltimore City,"1724 E Belvedere Ave, Baltimore, MD 21239","$16,000",Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4216563
DR,DR,10/13/2026,,Baltimore County,"9644 Eaves Drive, Owings Mills, MD 21117","$33,000",Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4216564
DR,DR,10/13/2026,9:45 AM,Baltimore County,"3100 Baybriar Road, Baltimore, MD 21222",SEE AD,Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4215892
DR,DR,10/13/2026,,Baltimore City,"741 Cator Ave, Baltimore, MD 21218","$26,500",Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4216032
DR,DR,10/08/2026,10:00 AM,Baltimore City,"1113 N. Bentalou St, Baltimore, MD 21216","$20,000",Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4215565
