source,auctioneer,sale date,sale time,county,address,deposit,status,ad link
HW,HW,2026-09-28,10:00 AM,"PRINCE GEORGES COURTHOUSE AT FRONT OF THE DUVAL WING OF THE COURTHOUSE COMPLEX 14735 MAIN ST, UPPER MARLBORO, MD 20772","7541 WOODBINE DR, LAUREL, MD 20707",$16K,Active,https://app.hwestauctions.com/details.php?id=153838
HW,HW,2026-09-28,11:30 AM,"CHARLES COURTHOUSE AT 200 CHARLES STREET ( IN THE BREEZEWAY BETWEEN CIRCUIT AND DISTRICT COURTS ), LA PLATA, MD 20646","9663 BERGAMONT CT, WALDORF, MD 20603",$44.5K,Active,https://app.hwestauctions.com/details.php?id=153861
HW,HW,2026-09-28,11:30 AM,"CHARLES COURTHOUSE AT 200 CHARLES STREET ( IN THE BREEZEWAY BETWEEN CIRCUIT AND DISTRICT COURTS ), LA PLATA, MD 20646","3059 HEATHCOTE RD, WALDORF, MD 20602",$24K,Active,https://app.hwestauctions.com/details.php?id=153836
HW,HW,2026-09-28,1:15 PM,"WICOMICO COURTHOUSE AT 101 NORTH DIVISION STREET, SALISBURY, MARYLAND 21801","104 WHITE STREET, SALISBURY, MD 21804",$20K,Active,https://app.hwestauctions.com/details.php?id=153545
HW,HW,2026-09-28,2:15 PM,"CALVERT COURTHOUSE AT 175 MAIN ST, PRINCE FREDERICK, MD 20678","2140 CLEARVIEW DR, OWINGS, MD 20736",$36.5K,Active,https://app.hwestauctions.com/details.php?id=153833
HW,HW,2026-09-29,11:00 AM,"WASHINGTON D.C. OFFICE AT 5335 WISCONSIN AVENUE-NW, STE 440, WASHINGTON, DC 20015","5618 EASTERN AVENUE NE, WASHINGTON, MD 20011",$50K,Active,https://app.hwestauctions.com/details.php?id=153749
HW,HW,2026-09-29,11:30 AM,"BALTIMORE CITY COURTHOUSE AT 100 N CALVERT ST, (COURTHOUSE WEST), BALTIMORE, MD 21202","1816 SWANSEA RD, BALTIMORE, MD 21239",$7.0K,Active,https://app.hwestauctions.com/details.php?id=153629
HW,HW,2026-09-29,11:30 AM,"BALTIMORE CITY COURTHOUSE AT 100 N CALVERT ST, (COURTHOUSE WEST), BALTIMORE, MD 21202","433 EAST 28TH ST, BALTIMORE, MD 21218",$17.5K,Active,https://app.hwestauctions.com/details.php?id=153658
HW,HW,2026-09-29,11:30 AM,"BALTIMORE CITY COURTHOUSE AT 100 N CALVERT ST, (COURTHOUSE WEST), BALTIMORE, MD 21202","1203 W CROSS STREET, BALTIMORE, MD 21230",$9.0K,Active,https://app.hwestauctions.com/details.php?id=153672
HW,HW,2026-09-29,11:30 AM,"BALTIMORE CITY COURTHOUSE AT 100 N CALVERT ST, (COURTHOUSE WEST), BALTIMORE, MD 21202","601 N EAST AVE, BALTIMORE, MD 21205",$12.5K,Active,https://app.hwestauctions.com/details.php?id=153674
HW,HW,2026-09-29,11:30AM,"BALTIMORE CITY COURTHOUSE AT 100 N CALVERT ST, (COURTHOUSE WEST), BALTIMORE, MD 21202","5717 GIST AVE, BALTIMORE, MD 21215",$23.0K,Active,https://app.hwestauctions.com/details.php?id=153785
HW,HW,2026-09-29,11:30 AM,"BALTIMORE CITY COURTHOUSE AT 100 N CALVERT ST, (COURTHOUSE WEST), BALTIMORE, MD 21202","3707 HOWARD PARK AVE, BALTIMORE, MD 21207",$11.5K,Active,https://app.hwestauctions.com/details.php?id=153805
HW,HW,2026-09-29,11:30 AM,"BALTIMORE CITY COURTHOUSE AT 100 N CALVERT ST, (COURTHOUSE WEST), BALTIMORE, MD 21202","6954 REISTERSTOWN RD, BALTIMORE, MD 21215",$8.5K,Active,https://app.hwestauctions.com/details.php?id=153831
HW,HW,2026-09-29,1:30 PM,"BALTIMORE COURTHOUSE AT 401 BOSLEY AVE (MAIN ENTRANCE FACING PATRIOT PLAZA), TOWSON, MD 21204","214 CRANBROOK ROAD, COCKEYSVILLE, MD 21030",$15.0K,Active,https://app.hwestauctions.com/details.php?id=153630
HW,HW,2026-09-29,1:30 PM,"BALTIMORE COURTHOUSE AT 401 BOSLEY AVE (MAIN ENTRANCE FACING PATRIOT PLAZA), TOWSON, MD 21204","7251 CONLEY ST, BALTIMORE, MD 21224",$12.0K,Active,https://app.hwestauctions.com/details.php?id=153668
HW,HW,2026-09-29,2:00 PM,"PRINCE GEORGES COURTHOUSE AT FRONT OF THE DUVAL WING OF THE COURTHOUSE COMPLEX 14735 MAIN ST, UPPER MARLBORO, MD 20772","9710 TRAVERSE WAY, FORT WASHINGTON, MD 20744",10%,Active,https://app.hwestauctions.com/details.php?id=153690
