source,auctioneer,sale date,sale time,county,address,deposit,status,ad link,case
RA,RA,11/05/2026,,Baltimore County,"8 North Prospect Avenue, Catonsville, MD 21228","$20,000",Active,https://rosenberg-assoc.com/foreclosure-sales/,26-005335-MD-F-2
RA,RA,10/16/2026,01:55PM,Washington County,"15 East Baltimore Street, Funkstown, MD 21734","$10,000",Active,https://rosenberg-assoc.com/foreclosure-sales/,26-005345-MD-F-1
RA,RA,10/15/2026,09:44AM,Baltimore City,"2015 Robb Street, Baltimore, MD 21218","$10,000",Active,https://rosenberg-assoc.com/foreclosure-sales/,26-005272-MD-F-1
RA,RA,10/29/2026,,Baltimore City,"1602 East Chase Street, Baltimore, MD 21213","$10,000",Active,https://rosenberg-assoc.com/foreclosure-sales/,25-005106-MD-F-1
RA,RA,10/27/2026,,Prince George`s County,"7102 Flag Harbor Drive, District Heights, MD 20747","$20,000",Active,https://rosenberg-assoc.com/foreclosure-sales/,25-005002-MD-F-1
RA,RA,10/06/2026,11:05AM,Prince George`s County,"822 Faraway Court, Bowie, MD 20721","$30,000",Active,https://rosenberg-assoc.com/foreclosure-sales/,25-004935-MD-F-1
RA,RA,10/29/2026,,Baltimore County,"2334 Shepperd Road, Monkton, MD 21111","$30,000",Active,https://rosenberg-assoc.com/foreclosure-sales/,22-000239-MD-F-3
RA,RA,10/22/2026,,Baltimore City,"4637 Briarclift Road, Baltimore, MD 21229","$10,000",Active,https://rosenberg-assoc.com/foreclosure-sales/,23-000825-MD-F-2
RA,RA,10/23/2026,,Montgomery County,"1233 Elm Grove Circle, Silver Spring, MD 20905","$20,000",Active,https://rosenberg-assoc.com/foreclosure-sales/,24-002721-MD-F-4
RA,RA,10/27/2026,,Prince George`s County,"14812 Dunbarton Drive, Upper Marlboro, MD 20772","$30,000",Active,https://rosenberg-assoc.com/foreclosure-sales/,23-001422-MD-F-3
RA,RA,10/20/2026,09:15AM,Anne Arundel County,"7994 Stone Haven Drive, Glen Burnie, MD 21060","$10,000",Active,https://rosenberg-assoc.com/foreclosure-sales/,25-003852-MD-F-1
RA,RA,10/02/2026,09:40AM,Howard County,"6364 Euclid Avenue, Elkridge, MD 21075","$30,000",Active,https://rosenberg-assoc.com/foreclosure-sales/,24-003512-MD-F-2
RA,RA,11/13/2026,,Montgomery County,"7927 Otter Cove Court, Gaithersburg, MD 20886","$10,000",Active,https://rosenberg-assoc.com/foreclosure-sales/,24-003573-MD-F-1
RA,RA,10/07/2026,12:57PM,"Washington, DC","106 Xenia Street SE, Washington, DC 20032","$30,000",Active,https://rosenberg-assoc.com/foreclosure-sales/,22-002788-DC-F-2
RA,RA,10/28/2026,12:22PM,"Washington, DC","1910 Irving Street NE, Washington, DC 20018","$10,000",Active,https://rosenberg-assoc.com/foreclosure-sales/,23-000580-DC-F-2
RA,RA,10/09/2026,12:05PM,Frederick County,"1748 Springfield Lane, Frederick, MD 21702","$20,000",Active,https://rosenberg-assoc.com/foreclosure-sales/,24-002661-MD-F-1
RA,RA,10/20/2026,10:32AM,Prince George`s County,"4514 Eden Park Lane, Upper Marlboro, MD 20772","$30,000",Active,https://rosenberg-assoc.com/foreclosure-sales/,23-000963-MD-F-2
RA,RA,10/30/2026,,Montgomery County,"11483 Stoney Point Place, Germantown, MD 20876","$30,000",Active,https://rosenberg-assoc.com/foreclosure-sales/,23-001129-MD-F-1
RA,RA,10/14/2026,10:35AM,Prince George`s County,"1806 Taylor Avenue, Fort Washington, MD 20744","$20,000",Active,https://rosenberg-assoc.com/foreclosure-sales/,23-001058-MD-F-1
RA,RA,09/29/2026,10:55AM,Prince George`s County,"12608 Henderson Chapel Lane, Bowie, MD 20720","$30,000",Active,https://rosenberg-assoc.com/foreclosure-sales/,23-001014-MD-F-1
RA,RA,10/28/2026,12:20PM,"Washington, DC","1341 Jonquil Street NW, Washington, DC 20012","$70,000",Active,https://rosenberg-assoc.com/foreclosure-sales/,23-000577-DC-F-1
RA,RA,10/07/2026,12:55PM,"Washington, DC","3978 2nd Street SW, Washington, DC 20032","$15,000",Active,https://rosenberg-assoc.com/foreclosure-sales/,23-000452-DC-F-1
RA,RA,10/29/2026,,Baltimore County,"3712 Croydon Road, Gwynn Oak, MD 21207","$20,000",Active,https://rosenberg-assoc.com/foreclosure-sales/,22-003117-MD-F-1
RA,RA,10/27/2026,,St. Mary`s County,"45852 Nolte Court, California, MD 20619","$10,000",Active,https://rosenberg-assoc.com/foreclosure-sales/,22-002827-MD-F-1
RA,RA,10/20/2026,09:17AM,Anne Arundel County,"8207 W B and A Road, Severn, MD 21144","$10,000",Active,https://rosenberg-assoc.com/foreclosure-sales/,22-002638-MD-F-1
RA,RA,10/20/2026,10:30AM,Prince George`s County,"15312 Maple Drive, Accokeek, MD 20607","$20,000",Active,https://rosenberg-assoc.com/foreclosure-sales/,22-002387-MD-F-1
RA,RA,10/22/2026,,Harford County,"53 Aberdeen Avenue, Aberdeen, MD 21001","$10,000",Active,https://rosenberg-assoc.com/foreclosure-sales/,21-000823-MD-F-1
RA,RA,10/27/2026,,Prince George`s County,"2811 Citrus Lane, Springdale, MD 20774","$30,000",Active,https://rosenberg-assoc.com/foreclosure-sales/,22-001199-MD-F-1
RA,RA,10/27/2026,,Prince George`s County,"704 Quarry Avenue, Capitol Heights, MD 20743","$20,000",Active,https://rosenberg-assoc.com/foreclosure-sales/,22-000956-MD-F-1
RA,RA,10/06/2026,11:07AM,Prince George`s County,"4217 Kinmount Road, Lanham, MD 20706","$20,000",Active,https://rosenberg-assoc.com/foreclosure-sales/,22-000422-MD-F-1
