source,auctioneer,sale date,sale time,county,address,deposit,status,ad link
TW,TW,09/28/26,1:45 PM,Talbot County,"29514 Golton Drive, Easton, MD 21601","$25,000.00",Active,tw-ad:80212
TW,TW,09/29/26,10:00 AM,Anne Arundel County,"6607 Rapid Water Way, Unit 202, Glen Burnie, MD 21060","$12,000.00",Active,tw-ad:80183
TW,TW,09/29/26,10:00 AM,Anne Arundel County,"311 Beach Ave, Pasadena, MD 21122 (SALE TO BE CONDUCTED BY AUCTION.COM","$20,000.00",Active,tw-ad:80217
TW,TW,09/29/26,10:00 AM,Anne Arundel County,"1906 Topango Place, Crofton, MD 21114","$9,000.00",Active,tw-ad:80236
TW,TW,09/29/26,10:00 AM,Anne Arundel County,"8335 Catherine Avenue, Pasadena, MD 21122","$9,000.00",Active,tw-ad:80238
TW,TW,09/29/26,10:00 AM,Anne Arundel County,"1611 Maud Lane, Crownsville, MD 21032","$61,500.00",Active,tw-ad:80273
TW,TW,09/29/26,11:30 AM,Prince Georges County,"1101 Dutton Way, Capitol Heights, MD 20743","$13,000.00",Active,tw-ad:80179
TW,TW,09/29/26,11:30 AM,Prince Georges County,"2801 Forest Run Dr #204, District Heights, MD 20747 a.k.a. 2801 Forest Run Drive, #1-204, District Heights, MD 20747","$16,000.00",Active,tw-ad:80202
TW,TW,09/29/26,11:30 AM,Prince Georges County,"3326 Huntley Square Drive, Unit A-1, Temple Hills, MD 20748","$12,000.00",Active,tw-ad:80207
TW,TW,09/29/26,2:15 PM,Charles County,"8105 Bowie Road, Nanjemoy, MD 20662","$34,000.00",Active,tw-ad:80185
TW,TW,09/29/26,2:15 PM,Charles County,"11748 Torcello Court, Waldorf, MD 20601","$42,500.00",Active,tw-ad:80270
TW,TW,09/30/26,11:15 AM,Montgomery County,"3319 Kilkenny Street, Silver Spring, MD 20904","$51,000.00",Active,tw-ad:80178
TW,TW,09/30/26,11:15 AM,Montgomery County,"3 High Stream Court, Germantown, MD 20874","$7,000.00",Active,tw-ad:80184
TW,TW,09/30/26,11:15 AM,Montgomery County,"2800 Munson Street, Silver Spring, MD 20902","$28,000.00",Active,tw-ad:80215
TW,TW,09/30/26,12:45 PM,Frederick County,"11234 Country Club Road, New Market, MD 21774","$56,000.00",Active,tw-ad:80219
TW,TW,09/30/26,12:45 PM,Frederick County,"4805 Cowmans Court North, Mount Airy, MD 21771","$23,000.00",Active,tw-ad:80239
TW,TW,09/30/26,12:45 PM,Frederick County,"527 N Market Street, Frederick, MD 21701","$40,000.00",Active,tw-ad:80240
TW,TW,10/01/26,10:00 AM,Baltimore City,"2512 Wilkens Avenue, Baltimore, MD 21223","$10,000.00",Active,tw-ad:80234
TW,TW,10/01/26,10:00 AM,Baltimore City,"3325 Ravenwood Avenue, Baltimore, MD 21213","$18,000.00",Active,tw-ad:80243
TW,TW,10/01/26,10:00 AM,Baltimore City,"3904 E Northern Parkway, Baltimore, MD 21206","$22,000.00",Active,tw-ad:80244
TW,TW,10/01/26,10:00 AM,Baltimore City,"5718 Key Avenue, Baltimore, MD 21215","$51,000.00",Active,tw-ad:80274
TW,TW,10/01/26,10:00 AM,Baltimore City,"4012 Garrison Boulevard, Baltimore, MD 21215","$15,500.00",Active,tw-ad:80275
TW,TW,10/01/26,10:00 AM,Baltimore City,"825 Whitelock Street, Baltimore, MD 21217","$83,500.00",Active,tw-ad:80276
TW,TW,10/02/26,11:00 AM,Washington DC,"603 Gallatin St. NW, Washington, DC 20011","$76,000.00",Active,tw-ad:80241
